"Test Case ID","Test Scenario","Test Case","Preconditions","Test Steps","Test Data","Expected Result","Priority"
"TC-AUTH-001","Người dùng đăng nhập","Đăng nhập với username và password hợp lệ","Tài khoản đã đăng ký và đang Active","1. Mở Login
2. Nhập username
3. Nhập password
4. Nhấn Login","Username: user01
Password: Password@123","Đăng nhập thành công; tạo phiên/token và chuyển vào hệ thống","High"
"TC-AUTH-002","Người dùng đăng nhập","Đăng nhập với username không tồn tại","Hệ thống đang hoạt động","1. Mở Login
2. Nhập username
3. Nhập password
4. Nhấn Login","Username: unknown01
Password: Password@123","Đăng nhập thất bại; hiển thị thông báo thông tin đăng nhập không hợp lệ","High"
"TC-AUTH-003","Người dùng đăng nhập","Đăng nhập với password không đúng","Username tồn tại và tài khoản Active","1. Mở Login
2. Nhập username đúng
3. Nhập password sai
4. Nhấn Login","Username: user01
Password: Wrong@123","Đăng nhập thất bại; không tạo phiên/token","High"
"TC-AUTH-004","Người dùng đăng nhập","Username để trống","Đang ở màn hình Login","1. Để trống username
2. Nhập password
3. Nhấn Login","Username: empty
Password: Password@123","Không cho đăng nhập; hiển thị lỗi yêu cầu nhập username","High"
"TC-AUTH-005","Người dùng đăng nhập","Password để trống","Đang ở màn hình Login","1. Nhập username
2. Để trống password
3. Nhấn Login","Username: user01
Password: empty","Không cho đăng nhập; hiển thị lỗi yêu cầu nhập password","High"
"TC-AUTH-006","Người dùng đăng nhập","Username và password đều để trống","Đang ở màn hình Login","1. Không nhập username
2. Không nhập password
3. Nhấn Login","Username: empty
Password: empty","Không cho đăng nhập; hiển thị lỗi validation tương ứng","High"
"TC-AUTH-007","Người dùng đăng nhập","Username có định dạng không hợp lệ","Đang ở màn hình Login","1. Nhập username không hợp lệ
2. Nhập password
3. Nhấn Login","Username: user@@@
Password: Password@123","Từ chối dữ liệu và hiển thị lỗi username không hợp lệ","Medium"
"TC-AUTH-008","Người dùng đăng nhập","Password có định dạng không hợp lệ","Quy tắc password đã được định nghĩa","1. Nhập username
2. Nhập password không đáp ứng rule
3. Nhấn Login","Username: user01
Password: 123","Từ chối dữ liệu và hiển thị lỗi password không hợp lệ","Medium"
"TC-AUTH-009","Người dùng đăng nhập","Đăng nhập bằng tài khoản bị khóa","Tài khoản user01 ở trạng thái Locked","1. Nhập username
2. Nhập password đúng
3. Nhấn Login","Username: user01
Password: Password@123","Đăng nhập thất bại; thông báo tài khoản bị khóa","High"
"TC-AUTH-010","Người dùng đăng nhập","Đăng nhập bằng tài khoản Inactive","Tài khoản tồn tại nhưng Inactive","1. Nhập username
2. Nhập password đúng
3. Nhấn Login","Username: inactive01
Password: Password@123","Đăng nhập thất bại; thông báo tài khoản không hoạt động","High"
